SETTLEMENTDATE,TOTALDEMAND,RRP,TOTALDEMAND_MIN,TOTALDEMAND_MAX
00:00:00,4163.775,77.99000000000001,4061.88,4265.67
01:00:00,3888.525,60.035,3850.82,3926.23
02:00:00,3675.58,43.01,3634.77,3716.39
03:00:00,3575.575,53.985,3560.56,3590.59
04:00:00,3627.81,61.045,3582.52,3673.1
05:00:00,3838.585,68.045,3761.2,3915.97
06:00:00,4141.57,90.195,4049.15,4233.99
07:00:00,4377.110000000001,98.375,4365.81,4388.41
08:00:00,4498.68,99.485,4455.46,4541.9
09:00:00,4567.115,94.49000000000001,4559.26,4574.97
10:00:00,4607.21,100.94999999999999,4606.64,4607.78
11:00:00,4564.245,100.31,4560.0,4568.49
12:00:00,4498.1900000000005,111.72999999999999,4460.33,4536.05
13:00:00,4482.84,135.145,4477.47,4488.21
14:00:00,4655.805,103.905,4587.41,4724.2
15:00:00,4847.110000000001,94.02000000000001,4789.12,4905.1
16:00:00,5084.094999999999,95.155,5033.36,5134.83
17:00:00,5200.965,111.895,5183.6,5218.33
18:00:00,5156.18,115.55000000000001,5109.6,5202.76
19:00:00,4982.530000000001,101.565,4921.81,5043.25
20:00:00,4846.35,99.755,4832.78,4859.92
21:00:00,4594.225,91.185,4511.13,4677.32
22:00:00,4316.04,81.4,4258.91,4373.17
23:00:00,4280.565,81.03,4181.94,4379.19
00:00:00,4252.585,76.745,4135.96,4369.21
01:00:00,3952.405,75.645,3921.05,3983.76
02:00:00,3744.285,65.995,3690.89,3797.68
03:00:00,3652.665,63.635000000000005,3638.3,3667.03
04:00:00,3704.755,60.019999999999996,3664.93,3744.58
05:00:00,3922.66,69.31,3829.12,4016.2
06:00:00,4308.48,78.89,4218.27,4398.69
07:00:00,4543.755,88.0,4521.55,4565.96
08:00:00,4675.455,93.05000000000001,4644.0,4706.91
09:00:00,4730.860000000001,104.755,4729.81,4731.91
10:00:00,4628.23,104.06,4594.74,4661.72
11:00:00,4654.025,120.855,4630.57,4677.48
12:00:00,4803.55,123.075,4776.56,4830.54
13:00:00,5018.885,118.11000000000001,4938.08,5099.69
14:00:00,5339.005,115.075,5239.92,5438.09
15:00:00,5737.515,122.83000000000001,5650.26,5824.77
16:00:00,6157.895,143.13,6083.08,6232.71
17:00:00,6512.299999999999,179.435,6469.53,6555.07
18:00:00,6548.18,264.56,6526.19,6570.17
19:00:00,6398.365,287.585,6308.03,6488.7
20:00:00,5981.24,140.56,5870.75,6091.73
21:00:00,5599.945,113.02,5482.23,5717.66
22:00:00,5048.125,98.745,4922.84,5173.41
23:00:00,4874.4400000000005,146.345,4803.03,4945.85
00:00:00,4765.36,128.0,4637.24,4893.48
01:00:00,4360.075000000001,67.405,4291.38,4428.77
02:00:00,4037.085,54.239999999999995,3978.76,4095.41
03:00:00,3884.73,49.375,3870.89,3898.57
04:00:00,3863.74,26.354999999999997,3839.5,3887.98
05:00:00,4052.685,45.7,3962.25,4143.12
06:00:00,4457.395,78.625,4327.0,4587.79
07:00:00,4847.715,90.535,4775.9,4919.53
08:00:00,5272.25,98.72,5147.84,5396.66
09:00:00,5777.635,110.32,5639.8,5915.47
10:00:00,6245.889999999999,114.225,6169.74,6322.04
11:00:00,6766.42,129.975,6616.72,6916.12
12:00:00,7201.215,262.975,7090.87,7311.56
13:00:00,7565.0599999999995,167.49,7499.05,7631.07
14:00:00,7876.610000000001,225.16500000000002,7779.83,7973.39
15:00:00,7944.795,184.54000000000002,7880.83,8008.76
16:00:00,7259.385,125.535,7029.01,7489.76
17:00:00,6628.65,108.705,6392.75,6864.55
18:00:00,5957.79,92.425,5851.82,6063.76
19:00:00,5575.41,107.68,5489.09,5661.73
20:00:00,5253.8,96.75999999999999,5176.59,5331.01
21:00:00,4833.02,96.06,4739.99,4926.05
22:00:00,4475.76,91.225,4373.22,4578.3
23:00:00,4385.985000000001,91.12,4279.84,4492.13
00:00:00,4154.075,70.195,4055.86,4252.29
01:00:00,3888.295,59.56,3854.32,3922.27
02:00:00,3669.465,49.925,3640.28,3698.65
03:00:00,3579.085,55.69,3567.04,3591.13
04:00:00,3659.58,63.19,3618.66,3700.5
05:00:00,3948.795,80.15,3841.67,4055.92
06:00:00,4357.445,84.925,4241.34,4473.55
07:00:00,4627.3150000000005,72.53999999999999,4622.86,4631.77
08:00:00,4715.0599999999995,72.025,4699.14,4730.98
09:00:00,4709.46,70.2,4689.6,4729.32
10:00:00,4644.195,68.97999999999999,4636.23,4652.16
11:00:00,4610.4349999999995,70.53,4590.69,4630.18
12:00:00,4660.49,80.13499999999999,4657.76,4663.22
13:00:00,4758.62,92.85499999999999,4734.82,4782.42
14:00:00,4912.58,82.41499999999999,4880.59,4944.57
15:00:00,5128.665,85.775,5057.09,5200.24
16:00:00,5309.085,128.925,5273.95,5344.22
17:00:00,5358.81,127.34,5356.31,5361.31
18:00:00,5294.290000000001,75.22,5236.31,5352.27
19:00:00,5106.66,91.965,5053.3,5160.02
20:00:00,4965.5,127.59,4955.49,4975.51
21:00:00,4764.895,111.48,4717.46,4812.33
22:00:00,4524.764999999999,86.14,4473.36,4576.17
23:00:00,4527.335,92.935,4428.8,4625.87
00:00:00,4493.775,125.265,4398.02,4589.53
01:00:00,4204.15,92.055,4145.44,4262.86
02:00:00,3984.7250000000004,78.275,3947.15,4022.3
03:00:00,3893.355,72.33000000000001,3880.05,3906.66
04:00:00,3981.21,100.63,3920.37,4042.05
05:00:00,4260.655,132.53,4169.49,4351.82
06:00:00,4645.92,143.11,4515.46,4776.38
07:00:00,4890.049999999999,120.99000000000001,4877.86,4902.24
08:00:00,4982.17,127.865,4962.66,5001.68
09:00:00,5002.385,115.41499999999999,4987.28,5017.49
10:00:00,4914.860000000001,122.03,4877.95,4951.77
11:00:00,4885.855,111.63499999999999,4876.33,4895.38
12:00:00,4970.57,76.905,4959.46,4981.68
13:00:00,5088.17,94.41,5079.37,5096.97
14:00:00,5130.865,87.11500000000001,5122.58,5139.15
15:00:00,5220.455,107.725,5179.08,5261.83
16:00:00,5305.125,92.785,5303.27,5306.98
17:00:00,5313.360000000001,90.425,5297.26,5329.46
18:00:00,5173.105,94.94,5121.43,5224.78
19:00:00,5008.004999999999,116.725,4960.78,5055.23
20:00:00,4863.21,107.61500000000001,4856.36,4870.06
21:00:00,4648.79,106.245,4554.25,4743.33
22:00:00,4310.04,93.8,4262.6,4357.48
23:00:00,4275.295,100.12,4184.04,4366.55
00:00:00,4313.205,112.16499999999999,4243.7,4382.71
01:00:00,4044.25,75.56,4001.14,4087.36
02:00:00,3801.15,63.21,3750.84,3851.46
03:00:00,3653.865,61.225,3643.77,3663.96
