SETTLEMENTDATE,TOTALDEMAND,RRP,TOTALDEMAND_MIN,TOTALDEMAND_MAX
00:00:00,4286.24,71.49,4286.24,4286.24
01:00:00,4092.6549999999997,73.45,4049.07,4136.24
02:00:00,3822.12,69.42,3759.46,3884.78
03:00:00,3645.6,63.474999999999994,3613.22,3677.98
04:00:00,3593.035,50.535,3586.21,3599.86
05:00:00,3609.7749999999996,47.395,3605.37,3614.18
06:00:00,3635.8050000000003,50.135000000000005,3609.79,3661.82
07:00:00,3640.955,45.7,3623.03,3658.88
08:00:00,3627.865,47.485,3613.74,3641.99
09:00:00,3632.115,54.315,3626.68,3637.55
10:00:00,3682.13,58.685,3648.23,3716.03
11:00:00,3768.16,68.35499999999999,3749.66,3786.66
12:00:00,3877.41,83.97999999999999,3845.69,3909.13
13:00:00,4003.3100000000004,88.395,3965.84,4040.78
14:00:00,4215.495,90.27,4152.0,4278.99
15:00:00,4474.01,88.43,4406.7,4541.32
16:00:00,4776.045,103.805,4702.29,4849.8
17:00:00,5012.72,90.495,4980.52,5044.92
18:00:00,5033.26,117.58,4993.17,5073.35
19:00:00,4844.155000000001,121.30000000000001,4773.46,4914.85
20:00:00,4650.82,97.38,4628.08,4673.56
21:00:00,4471.95,89.435,4407.36,4536.54
22:00:00,4220.125,81.84,4185.57,4254.68
23:00:00,4217.325,75.58500000000001,4121.57,4313.08
00:00:00,4304.63,94.435,4175.92,4433.34
01:00:00,3959.0699999999997,66.795,3899.79,4018.35
02:00:00,3732.705,74.915,3709.78,3755.63
03:00:00,3628.755,67.395,3620.67,3636.84
04:00:00,3634.27,66.615,3627.27,3641.27
05:00:00,3718.77,76.765,3673.47,3764.07
06:00:00,3820.245,72.055,3789.23,3851.26
07:00:00,3953.66,93.905,3942.71,3964.61
08:00:00,4205.885,120.17,4134.88,4276.89
09:00:00,4404.195,117.295,4371.83,4436.56
10:00:00,4417.6849999999995,135.26,4409.28,4426.09
11:00:00,4439.889999999999,85.525,4419.48,4460.3
