REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2020/07/01 00:30:00,5004.56,38.59,TRADE
VIC1,2020/07/01 01:00:00,4875.82,37.35,TRADE
VIC1,2020/07/01 01:30:00,4757.59,35.66,TRADE
VIC1,2020/07/01 02:00:00,4584.0,28.97,TRADE
VIC1,2020/07/01 02:30:00,4414.86,20.46,TRADE
VIC1,2020/07/01 03:00:00,4253.36,9.63,TRADE
VIC1,2020/07/01 03:30:00,4135.49,0.2,TRADE
VIC1,2020/07/01 04:00:00,4117.34,1.49,TRADE
VIC1,2020/07/01 04:30:00,4168.02,8.95,TRADE
VIC1,2020/07/01 05:00:00,4201.38,8.95,TRADE
VIC1,2020/07/01 05:30:00,4382.48,7.94,TRADE
VIC1,2020/07/01 06:00:00,4644.34,17.91,TRADE
VIC1,2020/07/01 06:30:00,5042.08,25.74,TRADE
VIC1,2020/07/01 07:00:00,5468.74,41.83,TRADE
VIC1,2020/07/01 07:30:00,5805.86,51.99,TRADE
VIC1,2020/07/01 08:00:00,6118.93,55.72,TRADE
VIC1,2020/07/01 08:30:00,6388.45,50.61,TRADE
VIC1,2020/07/01 09:00:00,6352.06,43.31,TRADE
VIC1,2020/07/01 09:30:00,6277.94,40.0,TRADE
VIC1,2020/07/01 10:00:00,6098.78,41.1,TRADE
VIC1,2020/07/01 10:30:00,5795.86,39.11,TRADE
VIC1,2020/07/01 11:00:00,5497.55,27.93,TRADE
VIC1,2020/07/01 11:30:00,5243.33,25.22,TRADE
VIC1,2020/07/01 12:00:00,5038.32,18.41,TRADE
VIC1,2020/07/01 12:30:00,4864.21,16.1,TRADE
VIC1,2020/07/01 13:00:00,4707.46,10.39,TRADE
VIC1,2020/07/01 13:30:00,4633.11,10.22,TRADE
VIC1,2020/07/01 14:00:00,4640.15,8.48,TRADE
VIC1,2020/07/01 14:30:00,4678.39,17.15,TRADE
VIC1,2020/07/01 15:00:00,4709.56,20.7,TRADE
VIC1,2020/07/01 15:30:00,4869.45,21.53,TRADE
VIC1,2020/07/01 16:00:00,5114.98,28.25,TRADE
VIC1,2020/07/01 16:30:00,5350.27,32.53,TRADE
VIC1,2020/07/01 17:00:00,5719.48,46.25,TRADE
VIC1,2020/07/01 17:30:00,6068.27,50.81,TRADE
VIC1,2020/07/01 18:00:00,6536.34,63.39,TRADE
VIC1,2020/07/01 18:30:00,6568.85,58.37,TRADE
VIC1,2020/07/01 19:00:00,6473.1,47.07,TRADE
VIC1,2020/07/01 19:30:00,6234.16,45.74,TRADE
VIC1,2020/07/01 20:00:00,6058.06,54.22,TRADE
VIC1,2020/07/01 20:30:00,5952.99,45.72,TRADE
VIC1,2020/07/01 21:00:00,5815.31,38.34,TRADE
