REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2019/02/01 00:30:00,4012.27,100.97,TRADE
VIC1,2019/02/01 01:00:00,3879.38,86.0,TRADE
VIC1,2019/02/01 01:30:00,3810.66,113.73,TRADE
VIC1,2019/02/01 02:00:00,3683.81,95.01,TRADE
VIC1,2019/02/01 02:30:00,3656.39,82.59,TRADE
VIC1,2019/02/01 03:00:00,3611.77,68.95,TRADE
VIC1,2019/02/01 03:30:00,3581.55,71.75,TRADE
VIC1,2019/02/01 04:00:00,3608.54,80.06,TRADE
VIC1,2019/02/01 04:30:00,3695.05,84.26,TRADE
VIC1,2019/02/01 05:00:00,3820.2,101.3,TRADE
VIC1,2019/02/01 05:30:00,4142.69,120.55,TRADE
VIC1,2019/02/01 06:00:00,4432.45,141.9,TRADE
VIC1,2019/02/01 06:30:00,4704.6,140.41,TRADE
VIC1,2019/02/01 07:00:00,4853.79,179.1,TRADE
VIC1,2019/02/01 07:30:00,4671.02,110.68,TRADE
VIC1,2019/02/01 08:00:00,4559.21,83.76,TRADE
VIC1,2019/02/01 08:30:00,4520.62,83.28,TRADE
VIC1,2019/02/01 09:00:00,4438.41,82.41,TRADE
VIC1,2019/02/01 09:30:00,4394.3,75.41,TRADE
VIC1,2019/02/01 10:00:00,4295.91,103.31,TRADE
VIC1,2019/02/01 10:30:00,4340.55,95.53,TRADE
VIC1,2019/02/01 11:00:00,4333.51,90.77,TRADE
VIC1,2019/02/01 11:30:00,4301.26,87.2,TRADE
VIC1,2019/02/01 12:00:00,4286.19,95.81,TRADE
VIC1,2019/02/01 12:30:00,4286.35,87.07,TRADE
VIC1,2019/02/01 13:00:00,4323.71,86.84,TRADE
VIC1,2019/02/01 13:30:00,4329.51,90.72,TRADE
VIC1,2019/02/01 14:00:00,4346.37,94.25,TRADE
VIC1,2019/02/01 14:30:00,4400.44,119.28,TRADE
VIC1,2019/02/01 15:00:00,4457.89,92.86,TRADE
VIC1,2019/02/01 15:30:00,4573.95,127.32,TRADE
VIC1,2019/02/01 16:00:00,4740.86,127.09,TRADE
VIC1,2019/02/01 16:30:00,4791.63,117.61,TRADE
VIC1,2019/02/01 17:00:00,4865.91,137.27,TRADE
VIC1,2019/02/01 17:30:00,4906.92,132.04,TRADE
VIC1,2019/02/01 18:00:00,4953.34,143.65,TRADE
