REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2016/09/01 00:30:00,5202.29,25.20,TRADE
VIC1,2016/09/01 01:00:00,4968.7,25.20,TRADE
VIC1,2016/09/01 01:30:00,4771.88,23.53,TRADE
VIC1,2016/09/01 02:00:00,4568.04,23.64,TRADE
VIC1,2016/09/01 02:30:00,4426.81,23.36,TRADE
VIC1,2016/09/01 03:00:00,4343.46,22.20,TRADE
VIC1,2016/09/01 03:30:00,4272.83,22.61,TRADE
VIC1,2016/09/01 04:00:00,4252.25,16.75,TRADE
VIC1,2016/09/01 04:30:00,4277.69,18.72,TRADE
VIC1,2016/09/01 05:00:00,4332.54,22.47,TRADE
VIC1,2016/09/01 05:30:00,4524.16,38.03,TRADE
VIC1,2016/09/01 06:00:00,4773.78,34.05,TRADE
VIC1,2016/09/01 06:30:00,5250.24,48.60,TRADE
VIC1,2016/09/01 07:00:00,5661.42,95.60,TRADE
VIC1,2016/09/01 07:30:00,5905.88,54.23,TRADE
VIC1,2016/09/01 08:00:00,6111.66,62.47,TRADE
VIC1,2016/09/01 08:30:00,6178.6,61.27,TRADE
VIC1,2016/09/01 09:00:00,6096.04,53.26,TRADE
VIC1,2016/09/01 09:30:00,6108.92,51.42,TRADE
VIC1,2016/09/01 10:00:00,5986.1,50.56,TRADE
VIC1,2016/09/01 10:30:00,5839.85,50.27,TRADE
VIC1,2016/09/01 11:00:00,5791.94,50.73,TRADE
VIC1,2016/09/01 11:30:00,5747.08,49.88,TRADE
VIC1,2016/09/01 12:00:00,5775.96,50.78,TRADE
VIC1,2016/09/01 12:30:00,5797.5,50.56,TRADE
VIC1,2016/09/01 13:00:00,5772.19,49.60,TRADE
VIC1,2016/09/01 13:30:00,5826.13,52.14,TRADE
VIC1,2016/09/01 14:00:00,5812.4,53.96,TRADE
VIC1,2016/09/01 14:30:00,5811.13,55.43,TRADE
VIC1,2016/09/01 15:00:00,5752.04,50.31,TRADE
VIC1,2016/09/01 15:30:00,5705.64,50.58,TRADE
VIC1,2016/09/01 16:00:00,5833.8,54.62,TRADE
VIC1,2016/09/01 16:30:00,5937.5,47.15,TRADE
VIC1,2016/09/01 17:00:00,6130.26,49.75,TRADE
VIC1,2016/09/01 17:30:00,6283.28,47.29,TRADE
VIC1,2016/09/01 18:00:00,6518.56,61.78,TRADE
VIC1,2016/09/01 18:30:00,6670.7,71.27,TRADE
VIC1,2016/09/01 19:00:00,6716.74,71.06,TRADE
VIC1,2016/09/01 19:30:00,6544.39,56.66,TRADE
VIC1,2016/09/01 20:00:00,6402.25,50.30,TRADE
VIC1,2016/09/01 20:30:00,6245.45,48.41,TRADE
VIC1,2016/09/01 21:00:00,6097.96,37.85,TRADE
VIC1,2016/09/01 21:30:00,5905.89,38.17,TRADE
VIC1,2016/09/01 22:00:00,5631.66,31.07,TRADE
VIC1,2016/09/01 22:30:00,5452.78,50.70,TRADE
VIC1,2016/09/01 23:00:00,5371.76,47.80,TRADE
VIC1,2016/09/01 23:30:00,5620.54,45.04,TRADE
VIC1,2016/09/02 00:00:00,5581.25,45.69,TRADE
VIC1,2016/09/02 00:30:00,5339.31,38.26,TRADE
VIC1,2016/09/02 01:00:00,5123.25,31.41,TRADE
VIC1,2016/09/02 01:30:00,4938.15,30.10,TRADE
VIC1,2016/09/02 02:00:00,4764.59,25.52,TRADE
VIC1,2016/09/02 02:30:00,4633.32,27.04,TRADE
VIC1,2016/09/02 03:00:00,4471.08,25.63,TRADE
VIC1,2016/09/02 03:30:00,4454.49,25.20,TRADE
VIC1,2016/09/02 04:00:00,4401.22,25.20,TRADE
VIC1,2016/09/02 04:30:00,4391,25.04,TRADE
VIC1,2016/09/02 05:00:00,4436.23,25.20,TRADE
VIC1,2016/09/02 05:30:00,4622.34,27.67,TRADE
VIC1,2016/09/02 06:00:00,4886.79,29.38,TRADE
VIC1,2016/09/02 06:30:00,5402.8,46.80,TRADE
VIC1,2016/09/02 07:00:00,5752.82,67.93,TRADE
VIC1,2016/09/02 07:30:00,5999.47,60.82,TRADE
VIC1,2016/09/02 08:00:00,6273,83.73,TRADE
VIC1,2016/09/02 08:30:00,6383.77,85.19,TRADE
VIC1,2016/09/02 09:00:00,6322.33,69.51,TRADE
VIC1,2016/09/02 09:30:00,6303.9,77.95,TRADE
VIC1,2016/09/02 10:00:00,6223.93,71.55,TRADE
VIC1,2016/09/02 10:30:00,6148.18,78.66,TRADE
VIC1,2016/09/02 11:00:00,6095.58,73.61,TRADE
VIC1,2016/09/02 11:30:00,6084.55,65.23,TRADE
VIC1,2016/09/02 12:00:00,6002.5,63.14,TRADE
VIC1,2016/09/02 12:30:00,5928.77,60.76,TRADE
VIC1,2016/09/02 13:00:00,5931.95,60.58,TRADE
VIC1,2016/09/02 13:30:00,5924.08,66.80,TRADE
VIC1,2016/09/02 14:00:00,5765.99,63.42,TRADE
VIC1,2016/09/02 14:30:00,5830.47,57.31,TRADE
VIC1,2016/09/02 15:00:00,5744.77,51.32,TRADE
VIC1,2016/09/02 15:30:00,5677.05,43.50,TRADE
VIC1,2016/09/02 16:00:00,5737.19,49.79,TRADE
VIC1,2016/09/02 16:30:00,5854.87,59.55,TRADE
VIC1,2016/09/02 17:00:00,5987.21,60.88,TRADE
VIC1,2016/09/02 17:30:00,6155.22,59.74,TRADE
VIC1,2016/09/02 18:00:00,6339.37,63.67,TRADE
VIC1,2016/09/02 18:30:00,6462.4,68.13,TRADE
VIC1,2016/09/02 19:00:00,6488.58,65.98,TRADE
VIC1,2016/09/02 19:30:00,6244.27,51.87,TRADE
VIC1,2016/09/02 20:00:00,6125.91,60.97,TRADE
VIC1,2016/09/02 20:30:00,5983.39,56.60,TRADE
VIC1,2016/09/02 21:00:00,5912.33,47.80,TRADE
VIC1,2016/09/02 21:30:00,5708.11,35.67,TRADE
VIC1,2016/09/02 22:00:00,5485.09,29.42,TRADE
VIC1,2016/09/02 22:30:00,5357.46,40.47,TRADE
VIC1,2016/09/02 23:00:00,5310.69,30.89,TRADE
VIC1,2016/09/02 23:30:00,5555.63,30.97,TRADE
VIC1,2016/09/03 00:00:00,5583.73,40.24,TRADE
VIC1,2016/09/03 00:30:00,5313.96,31.50,TRADE
VIC1,2016/09/03 01:00:00,5079.42,30.57,TRADE
