Period,facebook,youtube,instagram,twitter,linkedin,TV subscription
01-19,"15,000,000","15,000,000","9,000,000","4,700,000","4,500,000","13,966,000"
02-19,"15,000,000","15,000,000","9,000,000","4,700,000","4,500,000","13,966,000"
03-19,"15,000,000","15,000,000","9,000,000","4,700,000","4,500,000","13,966,000"
04-19,"15,000,000","15,000,000","9,000,000","4,700,000","4,500,000","13,966,000"
05-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
06-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
07-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
08-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
09-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
10-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
11-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
12-19,"15,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
01-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","13,966,000"
02-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","14,859,000"
03-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","14,859,000"
04-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","14,859,000"
05-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","15,737,000"
06-20,"16,000,000","15,000,000","9,000,000","5,300,000","5,500,000","15,737,000"
07-20,"16,000,000","15,500,000","9,000,000","5,800,000","6,500,000","15,737,000"
