date, pm25, pm10, o3, no2, so2, co
2020/10/1, 25, , , , , 
2020/10/2, 25, , , , , 
2020/10/3, 18, , , , , 
2020/10/4, 33, , , , , 
2020/10/5, 12, , , , , 
2020/10/6, 19, , , , , 
2020/10/7, 50, , , , , 
2020/10/8, 18, , , , , 
2020/10/9, 20, , , , , 
2020/10/10, 20, , , , , 
2020/10/11, 15, , , , , 
2020/10/12, 23, , , , , 
2020/10/13, 31, , , , , 
2020/10/14, 31, , , , , 
2020/10/15, 24, , , , , 
2020/10/16, 7, , , , , 
2020/9/1, 31, , , , , 
2020/9/2, 17, , , , , 
2020/9/3, 12, , , , , 
2020/9/4, 26, , , , , 
2020/9/5, 30, , , , , 
2020/9/6, 58, , , , , 
2020/9/7, 20, , , , , 
2020/9/8, 23, , , , , 
2020/9/9, 26, , , , , 
2020/9/10, 28, , , , , 
2020/9/11, 13, , , , , 
2020/9/12, 17, , , , , 
2020/9/13, 24, , , , , 
2020/9/14, 28, , , , , 
2020/9/15, 38, , , , , 
2020/9/16, 33, , , , , 
2020/9/17, 22, , , , , 
2020/9/18, 42, , , , , 
2020/9/19, 43, , , , , 
2020/9/20, 9, , , , , 
2020/9/21, 18, , , , , 
2020/9/22, 19, , , , , 
2020/9/23, 15, , , , , 
2020/9/24, 11, , , , , 
2020/9/25, 13, , , , , 
2020/9/26, 18, , , , , 
2020/9/27, 21, , , , , 
2020/9/28, 29, , , , , 
2020/9/29, 27, , , , , 
2020/9/30, 18, , , , , 
2020/8/1, 32, , , , , 
2020/8/2, 27, , , , , 
2020/8/3, 22, , , , , 
2020/8/4, 18, , , , , 
2020/8/5, 27, , , , , 
2020/8/6, 22, , , , , 
2020/8/7, 35, , , , , 
2020/8/8, 16, , , , , 
2020/8/9, 14, , , , , 
2020/8/10, 38, , , , , 
2020/8/11, 34, , , , , 
2020/8/12, 16, , , , , 
2020/8/13, 18, , , , , 
2020/8/14, 25, , , , , 
2020/8/15, 35, , , , , 
2020/8/16, 20, , , , , 
2020/8/17, 15, , , , , 
2020/8/18, 14, , , , , 
2020/8/19, 16, , , , , 
2020/8/20, 13, , , , , 
2020/8/21, 18, , , , , 
2020/8/22, 13, , , , , 
2020/8/23, 19, , , , , 
2020/8/24, 16, , , , , 
2020/8/25, 20, , , , , 
2020/8/26, 24, , , , , 
2020/8/27, 16, , , , , 
2020/8/28, 45, , , , , 
2020/8/29, 31, , , , , 
2020/8/30, 22, , , , , 
2020/8/31, 20, , , , , 
2020/7/1, 24, , , , , 
2020/7/2, 20, , , , , 
2020/7/3, 20, , , , , 
2020/7/4, 24, , , , , 
2020/7/5, 18, , , , , 
2020/7/6, 24, , , , , 
2020/7/7, 27, , , , , 
2020/7/8, 42, , , , , 
2020/7/9, 44, , , , , 
2020/7/10, 46, , , , , 
2020/7/12, 37, , , , , 
2020/7/13, 19, , , , , 
2020/7/14, 16, , , , , 
2020/7/15, 23, , , , , 
2020/7/16, 38, , , , , 
2020/7/17, 49, , , , , 
2020/7/18, 22, , , , , 
2020/7/19, 15, , , , , 
2020/7/20, 21, , , , , 
2020/7/21, 26, , , , , 
2020/7/22, 13, , , , , 
2020/7/23, 20, , , , , 
2020/7/24, 40, , , , , 
2020/7/25, 62, , , , , 
2020/7/26, 83, , , , , 
2020/7/27, 41, , , , , 
2020/7/28, 27, , , , , 
2020/7/29, 41, , , , , 
2020/7/30, 43, , , , , 
2020/7/31, 60, , , , , 
2020/6/1, 11, , , , , 
2020/6/2, 19, , , , , 
2020/6/3, 28, , , , , 
2020/6/4, 25, , , , , 
2020/6/5, 65, , , , , 
2020/6/6, 50, , , , , 
2020/6/7, 15, , , , , 
2020/6/8, 40, , , , , 
2020/6/9, 49, , , , , 
2020/6/10, 48, , , , , 
2020/6/11, 57, , , , , 
2020/6/12, 57, , , , , 
2020/6/13, 31, , , , , 
2020/6/14, 16, , , , , 
2020/6/15, 18, , , , , 
2020/6/16, 16, , , , , 
2020/6/17, 32, , , , , 
2020/6/18, 49, , , , , 
2020/6/19, 24, , , , , 
2020/6/20, 23, , , , , 
2020/6/21, 44, , , , , 
2020/6/22, 20, , , , , 
2020/6/23, 24, , , , , 
2020/6/24, 37, , , , , 
2020/6/25, 29, , , , , 
2020/6/26, 31, , , , , 
2020/6/27, 45, , , , , 
2020/6/28, 120, , , , , 
2020/6/29, 70, , , , , 
2020/6/30, 28, , , , , 
2020/5/1, 17, , , , , 
2020/5/2, 18, , , , , 
2020/5/3, 27, , , , , 
2020/5/4, 18, , , , , 
2020/5/5, 28, , , , , 
2020/5/6, 19, , , , , 
2020/5/7, 16, , , , , 
2020/5/8, 17, , , , , 
2020/5/9, 11, , , , , 
2020/5/10, 17, , , , , 
2020/5/11, 19, , , , , 
2020/5/12, 16, , , , , 
2020/5/13, 23, , , , , 
2020/5/14, 43, , , , , 
2020/5/15, 56, , , , , 
2020/5/16, 62, , , , , 
2020/5/17, 64, , , , , 
2020/5/18, 66, , , , , 
2020/5/19, 26, , , , , 
2020/5/20, 14, , , , , 
2020/5/21, 16, , , , , 
2020/5/22, 22, , , , , 
2020/5/23, 18, , , , , 
2020/5/24, 14, , , , , 
2020/5/25, 23, , , , , 
2020/5/26, 39, , , , , 
2020/5/27, 31, , , , , 
2020/5/28, 25, , , , , 
2020/5/29, 28, , , , , 
2020/5/30, 17, , , , , 
2020/5/31, 12, , , , , 
2020/4/1, 44, , , , , 
2020/4/2, 39, , , , , 
2020/4/3, 24, , , , , 
2020/4/4, 17, , , , , 
2020/4/5, 14, , , , , 
2020/4/6, 20, , , , , 
2020/4/7, 19, , , , , 
2020/4/8, 20, , , , , 
2020/4/9, 33, , , , , 
2020/4/10, 29, , , , , 
2020/4/11, 24, , , , , 
2020/4/12, 14, , , , , 
2020/4/13, 23, , , , , 
2020/4/14, 38, , , , , 
2020/4/15, 32, , , , , 
2020/4/16, 25, , , , , 
2020/4/17, 21, , , , , 
2020/4/18, 16, , , , , 
2020/4/19, 21, , , , , 
2020/4/20, 24, , , , , 
2020/4/21, 28, , , , , 
2020/4/22, 25, , , , , 
2020/4/23, 31, , , , , 
2020/4/24, 28, , , , , 
2020/4/25, 31, , , , , 
2020/4/26, 4, , , , , 
2020/4/27, 40, , , , , 
2020/4/28, 25, , , , , 
2020/4/29, 17, , , , , 
2020/4/30, 15, , , , , 
2020/3/1, 22, , , , , 
2020/3/2, 22, , , , , 
2020/3/3, 17, , , , , 
2020/3/4, 35, , , , , 
2020/3/5, 30, , , , , 
2020/3/6, 27, , , , , 
2020/3/7, 23, , , , , 
2020/3/8, 19, , , , , 
2020/3/9, 27, , , , , 
2020/3/10, 35, , , , , 
2020/3/11, 30, , , , , 
2020/3/12, 23, , , , , 
2020/3/13, 24, , , , , 
2020/3/14, 26, , , , , 
2020/3/15, 16, , , , , 
2020/3/16, 26, , , , , 
2020/3/17, 26, , , , , 
2020/3/18, 18, , , , , 
2020/3/19, 27, , , , , 
2020/3/20, 26, , , , , 
2020/3/21, 31, , , , , 
2020/3/22, 23, , , , , 
2020/3/23, 20, , , , , 
2020/3/24, 18, , , , , 
2020/3/25, 17, , , , , 
2020/3/26, 15, , , , , 
2020/3/30, 11, , , , , 
2020/3/31, 23, , , , , 
2020/2/1, 28, 8, 14, 3, , 
2020/2/2, 16, 15, 14, 3, , 
2020/2/3, 19, 17, 15, 3, , 
2020/2/4, 27, 16, 19, 5, , 
2020/2/5, 29, , , , , 
2020/2/6, 62, , , , , 
2020/2/7, 106, , , , , 
2020/2/8, 79, , , , , 
2020/2/10, 27, , , , , 
2020/2/11, 35, , , , , 
2020/2/12, 25, , , , , 
2020/2/13, 23, , , , , 
2020/2/14, 24, , , , , 
2020/2/15, 32, , , , , 
2020/2/16, 21, , , , , 
2020/2/17, 36, , , , , 
2020/2/18, 35, , , , , 
2020/2/19, 32, , , , , 
2020/2/20, 25, , , , , 
2020/2/21, 24, 15, 16, 3, , 
2020/2/22, 24, 17, 33, 6, , 
2020/2/23, 31, 22, 11, 13, , 1
2020/2/24, 55, 14, 16, 9, , 1
2020/2/25, 39, 11, 14, 4, , 
2020/2/26, 24, 13, 15, 6, , 
2020/2/27, 25, 9, 14, 5, , 
2020/2/28, 23, , , , , 
2020/2/29, 25, , , , , 
2020/1/1, 44, 18, 29, 2, 1, 
2020/1/2, 26, 55, 61, 7, , 4
2020/1/3, 112, 41, 31, 3, 1, 2
2020/1/4, 82, 13, 13, 2, , 
2020/1/5, 20, 56, 17, 12, , 20
2020/1/6, 134, 19, 16, 6, , 7
