dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1577836800,2020-01-01 00:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,19.89,18.61,17.3,22.22,1016,,,64,3.1,190,,,,,12,801,Clouds,few clouds,02d
1577840400,2020-01-01 01:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,21.1,17.77,18.89,23.33,1016,,,43,4.1,190,,,,,0,800,Clear,sky is clear,01d
1577844000,2020-01-01 02:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,22.07,19.05,20.56,24.44,1016,,,40,3.6,130,,,,,0,800,Clear,sky is clear,01d
1577847600,2020-01-01 03:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,23.41,19.44,21.67,25.56,1015,,,38,5.1,200,,,,,0,800,Clear,sky is clear,01d
1577851200,2020-01-01 04:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,24.77,21.44,22.22,28.33,1015,,,31,3.6,110,,,,,0,800,Clear,sky is clear,01d
1577854800,2020-01-01 05:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,24.93,22.12,22.78,28.33,1014,,,29,2.6,170,,,,,0,800,Clear,sky is clear,01d
1577858400,2020-01-01 06:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,24.58,18.85,21.23,27.78,1015,,,36,7.7,170,,,,,0,800,Clear,sky is clear,01d
1577862000,2020-01-01 07:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,24.28,19.38,22.78,26.11,1015,,,38,6.7,160,,,,,0,800,Clear,sky is clear,01d
1577865600,2020-01-01 08:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,22.49,17.49,20.75,23.89,1016,,,49,7.7,170,,,,,0,800,Clear,sky is clear,01d
1577869200,2020-01-01 09:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,20.6,15.65,18.33,22.74,1017,,,60,8.2,170,,,,,0,800,Clear,sky is clear,01d
1577872800,2020-01-01 10:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,18.95,14.16,17.22,20.56,1018,,,59,7.2,180,,,,,0,800,Clear,sky is clear,01n
1577876400,2020-01-01 11:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,17.86,14.34,16.61,19,1018,,,55,4.6,160,,,,,0,800,Clear,sky is clear,01n
1577880000,2020-01-01 12:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,17.06,13.97,14.99,18.33,1019,,,59,4.1,140,,,,,0,800,Clear,sky is clear,01n
1577883600,2020-01-01 13:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,16.45,13.57,14.44,17.78,1019,,,59,3.6,130,,,,,3,800,Clear,sky is clear,01n
1577887200,2020-01-01 14:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,15.68,13.44,13.96,16.79,1018,,,67,3.1,150,,,,,2,800,Clear,sky is clear,01n
1577890800,2020-01-01 15:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,15.05,14.06,12.34,16.67,1018,,,72,1.5,130,,,,,2,800,Clear,sky is clear,01n
1577894400,2020-01-01 16:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,14.13,14.13,11.93,15.72,1017,,,82,0.5,130,,,,,4,800,Clear,sky is clear,01n
1577898000,2020-01-01 17:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,13.44,11.91,10.85,15.45,1017,,,72,1.69,137,,,,,2,800,Clear,sky is clear,01n
1577901600,2020-01-01 18:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,12.47,10.91,10.28,13.89,1017,,,82,2.1,130,,,,,5,800,Clear,sky is clear,01n
1577905200,2020-01-01 19:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,11.86,9.44,9.76,13.33,1018,,,82,3.1,270,,,,,5,800,Clear,sky is clear,01n
1577908800,2020-01-01 20:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,13.43,11.26,10.56,15.98,1019,,,72,2.6,280,,,,,2,800,Clear,sky is clear,01d
1577912400,2020-01-01 21:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,15.49,14.09,12.16,18.33,1019,,,63,1.5,250,,,,,5,800,Clear,sky is clear,01d
1577916000,2020-01-01 22:00:00 +0000 UTC,39600,Melbourne,-37.813628,144.963058,18.51,16.55,16.67,20,1021,,,55,2.6,180,,,,,0,800,Clear,sky is clear,01d
